ID,join_date
5524,2012-09-04
965,2012-11-13
387,2012-11-13
2569,2012-10-10
2114,2012-11-24
9736,2012-12-24
4939,2012-08-31
2278,2012-11-03
9360,2012-08-08
1993,2012-12-23
5710,2012-10-10
7373,2012-10-29
8430,2012-12-24
9909,2012-11-09
6566,2012-11-08
4114,2012-08-11
6260,2012-11-19
3076,2012-09-07
1402,2012-09-11
10629,2012-09-14
5846,2012-12-19
1859,2012-08-27
7503,2012-10-12
3332,2012-08-29
8996,2012-11-19
7247,2012-11-22
3629,2012-12-19
10991,2012-12-07
7431,2012-11-10
9215,2012-12-12
5342,2012-08-08
821,2012-10-19
9949,2012-10-18
10837,2012-10-28
5885,2012-08-22
7798,2012-12-14
7055,2012-10-09
9260,2012-11-05
8717,2012-09-12
10314,2012-12-16
3518,2012-12-05
9733,2012-09-09
2798,2012-11-02
624,2012-11-10
380,2012-09-10
6927,2012-10-05
454,2012-11-14
7079,2012-09-08
7375,2012-10-25
709,2012-12-09
460,2012-08-08
9940,2012-12-23
6439,2012-08-17
8867,2012-08-31
8932,2012-10-29
2227,2012-09-22
10992,2012-08-29
5304,2012-10-13
309,2012-10-16
3406,2012-10-22
10264,2012-10-10
9396,2012-11-23
9703,2012-10-15
2379,2012-09-22
10144,2012-10-25
8652,2012-08-31
4543,2012-10-31
2926,2012-08-23
6609,2012-09-18
9478,2012-08-14
10151,2012-09-12
7381,2012-12-06
4099,2012-11-12
10172,2012-08-10
9707,2012-11-23
8842,2012-12-25
11056,2012-10-27
9365,2012-12-22
6184,2012-12-12
7274,2012-09-28
933,2012-11-23
5837,2012-12-28
10704,2012-08-21
5955,2012-11-17
2928,2012-12-01
10313,2012-10-28
1245,2012-11-11
10703,2012-08-18
4459,2012-12-30
6878,2012-12-12
3310,2012-08-22
6202,2012-10-05
2066,2012-08-30
7414,2012-09-15
6354,2012-08-31
798,2012-12-24
8213,2012-11-09
9999,2012-09-27
3645,2012-08-30
9973,2012-10-17
7301,2012-11-17
10882,2012-11-09
7422,2012-08-22
4324,2012-10-29
10642,2012-12-30
6233,2012-09-07
4148,2012-08-20
4947,2012-09-15
10648,2012-09-25
9213,2012-10-31
3916,2012-08-15
564,2012-08-04
8970,2012-10-23
10581,2012-10-31
8346,2012-08-19
9286,2012-10-10
2426,2012-09-14
3921,2012-10-28
3403,2012-09-24
22,2012-12-03
9135,2012-08-06
8151,2012-12-29
5140,2012-08-24
4945,2012-11-07
8939,2012-12-16
4943,2012-09-30
35,2012-09-08
2258,2012-12-04
4702,2012-08-12
10591,2012-08-06
5036,2012-11-28
8692,2012-09-12
9120,2012-12-05
3525,2012-12-07
6818,2012-09-12
5966,2012-11-10
9058,2012-09-23
3710,2012-10-12
7627,2012-12-12
5252,2012-10-26
3537,2012-08-17
2453,2012-08-31
895,2012-12-09
7141,2012-12-29
2457,2012-10-26
6682,2012-12-11
10299,2012-11-09
10862,2012-08-17
4299,2012-09-21
3469,2012-09-06
5063,2012-12-18
1907,2012-09-28
3856,2012-10-05
2131,2012-12-30
6728,2012-08-27
6661,2012-08-12
3277,2012-08-03
946,2012-09-22
55,2012-12-07
1777,2012-09-07
8162,2013-01-01
10826,2012-12-28
9204,2012-09-12
2920,2012-12-01
4673,2012-10-30
4910,2012-08-30
9826,2012-09-12
1501,2012-08-04
7230,2012-10-04
1272,2012-10-21
10479,2012-12-07
3619,2012-09-23
5114,2012-12-19
4692,2012-08-01
610,2012-08-07
5564,2012-08-09
4012,2012-08-11
5331,2012-09-11
1911,2012-09-05
4303,2012-12-08
4211,2012-10-29
347,2012-09-08
10446,2012-11-07
796,2012-10-23
7462,2012-11-24
8560,2012-09-10
5687,2012-09-23
368,2012-11-29
11121,2012-11-10
10343,2012-09-29
5935,2012-12-24
4856,2012-11-06
3007,2012-10-04
4271,2012-10-04
2447,2012-10-17
9653,2012-10-16
5830,2012-09-12
7023,2012-11-26
7108,2012-09-08
9224,2012-12-12
10619,2012-12-03
5871,2012-08-31
7922,2012-08-12
5692,2012-12-22
8700,2012-12-22
3202,2012-10-01
2882,2012-10-01
5748,2012-12-01
2134,2012-08-17
4640,2012-09-21
3547,2012-12-30
7011,2012-10-12
3933,2012-10-13
10995,2012-11-12
9209,2012-10-14
2611,2012-08-01
9850,2012-11-29
7378,2012-08-31
10473,2012-09-10
8952,2012-11-05
5236,2012-08-25
1970,2012-09-10
4240,2012-11-03
8985,2012-11-04
9503,2012-08-29
6730,2012-11-03
10749,2012-09-18
5985,2012-10-13
8870,2012-11-13
7290,2012-10-05
3846,2012-08-29
4507,2012-11-27
4491,2012-10-01
4415,2012-09-12
2223,2012-08-03
4817,2012-08-04
11112,2012-12-03
3807,2012-11-30
247,2012-11-17
8707,2012-08-22
10245,2012-10-31
4713,2012-11-22
2308,2012-11-18
5995,2012-12-18
6749,2012-08-08
2975,2012-11-12
10542,2012-08-05
5430,2012-09-14
10525,2012-10-13
8310,2012-08-29
10710,2012-08-29
5031,2012-09-22
1077,2012-12-05
8432,2012-09-14
6218,2012-10-20
6905,2012-08-22
6263,2012-08-22
8278,2012-08-26
5907,2012-11-03
4088,2012-12-06
590,2012-12-22
8732,2012-11-17
7342,2012-09-09
234,2012-10-10
3439,2012-10-31
8876,2012-08-08
10395,2012-08-22
7736,2012-10-22
1291,2012-08-04
4136,2012-12-03
6653,2012-07-30
9094,2012-08-03
5207,2012-09-24
195,2012-08-26
7527,2012-11-21
10637,2013-01-01
2931,2012-09-21
3698,2012-08-09
9516,2012-08-18
679,2012-09-20
5043,2012-11-05
339,2012-11-23
378,2012-12-30
10641,2012-12-27
6055,2012-11-01
8427,2012-11-23
10971,2012-09-03
5621,2012-12-12
2535,2012-08-18
942,2012-08-08
5510,2012-11-21
873,2012-10-01
8369,2012-11-08
2407,2012-11-09
1343,2012-09-26
6181,2012-07-31
2674,2012-09-04
5675,2012-10-04
8805,2012-12-02
2902,2012-09-03
793,2012-10-06
4791,2012-12-16
5289,2012-11-09
10490,2012-12-10
4094,2012-08-25
4188,2012-08-13
6613,2012-10-12
10827,2012-08-07
8783,2012-09-08
10010,2012-09-06
618,2012-09-28
2561,2012-11-11
4086,2012-12-28
8588,2012-08-25
6856,2012-09-03
4530,2012-10-24
8204,2012-12-16
5221,2012-12-01
6875,2012-08-28
4042,2012-10-13
2525,2012-09-14
4070,2012-09-01
25,2012-11-16
217,2012-11-23
7787,2012-08-31
8370,2012-08-02
2072,2012-08-16
9463,2012-11-13
3340,2012-08-17
3594,2012-11-05
3584,2012-08-20
7706,2012-11-07
9,2012-08-18
9451,2012-11-25
1490,2012-11-28
3887,2012-11-11
2408,2012-11-20
7998,2012-12-11
6050,2012-12-11
2804,2012-08-18
3745,2012-09-04
9771,2012-10-05
1079,2012-10-16
528,2012-11-29
5589,2012-08-31
5636,2012-11-09
8091,2012-09-02
5462,2012-08-12
955,2012-10-28
9530,2012-11-01
7476,2012-12-02
10478,2012-09-27
4261,2012-11-24
9916,2012-11-03
8685,2012-08-17
4764,2012-08-19
4971,2012-12-06
10069,2012-08-31
1041,2012-10-18
7022,2012-09-28
5453,2012-09-26
6729,2012-08-10
1773,2012-12-04
3298,2012-11-08
5120,2012-09-25
8041,2012-09-08
6575,2012-10-27
8395,2012-08-20
10352,2012-09-07
3389,2012-11-22
4712,2012-11-28
2156,2012-11-03
1891,2012-08-08
10398,2012-08-27
2431,2012-12-31
1890,2012-09-19
10356,2012-09-22
8852,2012-08-31
7349,2012-10-02
1351,2012-09-20
1045,2012-08-16
7396,2012-11-10
10340,2012-11-13
3498,2012-11-25
10905,2012-10-29
10304,2012-12-28
9292,2012-10-26
10250,2012-11-20
3571,2012-10-16
7807,2012-09-12
2154,2012-12-25
5093,2012-09-18
8895,2012-10-05
8910,2012-10-29
7433,2012-08-29
164,2012-10-13
5150,2012-12-17
9645,2012-10-14
7261,2013-01-01
9648,2012-11-03
2870,2012-09-21
1513,2012-08-28
6977,2012-10-14
1990,2012-11-05
5513,2012-10-04
269,2012-11-16
1440,2012-09-04
7393,2012-12-10
9847,2012-08-03
531,2012-09-22
7872,2012-09-12
4427,2012-09-18
1168,2012-10-29
6710,2012-11-17
521,2012-09-18
1459,2012-11-07
9064,2012-11-09
3678,2012-10-07
8486,2012-10-01
3766,2012-08-16
3074,2012-10-15
10702,2012-11-03
2747,2012-08-31
8462,2012-09-09
5544,2012-11-10
6417,2012-10-14
5831,2012-08-22
10176,2012-08-24
10686,2012-12-26
3138,2012-10-20
10872,2012-11-23
1867,2012-11-13
1403,2012-09-06
6250,2012-11-19
5393,2012-08-07
5015,2012-09-14
10676,2012-11-02
7919,2012-08-13
10448,2012-10-22
2452,2013-01-01
5117,2012-08-02
10913,2012-12-05
8524,2012-09-18
8619,2012-12-24
4122,2012-08-29
10841,2012-12-25
4023,2012-09-06
3599,2012-11-26
3262,2012-08-07
2375,2012-09-25
9323,2012-09-07
10001,2012-08-01
4786,2012-10-04
4974,2012-09-25
4095,2012-09-11
3507,2012-08-17
7441,2012-10-06
10897,2012-08-12
7899,2012-10-29
4643,2012-08-26
6497,2012-11-07
2802,2012-12-15
7734,2012-12-19
1146,2012-09-07
1103,2012-09-29
3422,2012-11-29
1241,2012-09-17
1407,2012-10-29
340,2012-12-15
3104,2012-09-17
1008,2012-12-21
6147,2012-10-18
8832,2012-09-12
7532,2012-08-30
4915,2012-08-03
1631,2012-09-03
642,2012-08-14
2715,2012-08-06
7233,2012-09-17
5667,2012-10-11
1544,2012-12-22
492,2012-10-18
7990,2012-08-02
8722,2012-11-06
7118,2012-08-01
10968,2012-11-23
11133,2012-10-18
5959,2012-10-15
1092,2012-08-11
3850,2012-12-07
3661,2012-10-12
692,2012-12-20
9246,2012-10-14
4749,2012-09-26
8720,2012-08-12
9817,2012-08-21
8080,2012-08-17
9405,2012-10-15
